;;;;;;;;;;;;;CONCRETE GEN1;;;;CONCRETE 20/25;;;;CONCRETE 32/40;;;;CONCRETE 40/50;;;;Steel - Hot Rolled Sections;;;;Steel - Galvanised & Decking;;;;Steel - Reinforcement;;;;Timber, CLT;;;;Timber, Glulam;;;;Timber, Softwood;;;;Single Skin Masonry;;;;Double Skin Masonry;;;;100mm Concrete;;;;140mm Concrete;;;;215mm Concrete;;;;;
Job #;Sector;Type;GIFA (m2);Storeys;Basement;Foundations;Ground Floor;Superstructure;Typical Span (m);Typ Qk (kN_per_m2);Cladding;BREEAM Rating;Quantity (kg);Mix;Value;Total kgC02e;Quantity (kg);Mix;Value;Total kgC02e;Quantity (kg);Mix;Value;Total kgC02e;Quantity (kg);Mix;Value;Total kgC02e;Quantity (kg);Module;Value;Total kgC02e;Quantity (kg);Module;Value;Total kgC02e;Quantity (kg);Module;Value;Total kgC02e;Quantity (kg);Sequestration;Value;Total kgC02e;Quantity (kg);Sequestration;Value;Total kgC02e;Quantity (kg);Sequestration;Value;Total kgC02e;Quantity (m2);Mortar Mix;Value;Total kgC02e;Quantity (m2);Mortar Mix;Value;Total kgC02e;Quantity (m2);Density;Value;Total kgC02e;Quantity (m2);Density;Value;Total kgC02e;Quantity (m2);Density;Value;Total kgC02e;Calculated Total tCO2e;Calculated tCO2e_per_m2
16;Educational;New Build (Brownfield);1874;2;None;Mass Pads/Strips;Ground Bearing RC;CLT Frame;6,00;4,00;Masonry Only;Unknown;435675;CEMI;0,097;42347,61;0;CEMI;0,121;0;1194155;50% GGBS;0,089;106040,964;0;CEMI;0,172;0;46864,5;Short Term (A-C);1,550;72639,975;0;Short Term (A-C);2,760;0;87733;Short Term (A-C);1,990;174588,67;279540;No Carbon Sequestration;0,430;120202,2;16555;No Carbon Sequestration;0,510;8443,05;2368;No Carbon Sequestration;0,260;615,68;0;1:1:6;37,300;0;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;0;High Density;42,610;0;524,9;0,280
17;Residential;New Build (Brownfield);1305;5;None;Piles (Pile Caps);Suspended RC;In-Situ RC;4,00;2,50;Masonry Only;Unknown;0;CEMI;0,097;0;0;CEMI;0,121;0;1385376;30% PFA;0,125;173310,5376;45600;30% PFA;0,142;6470,64;5694;Short Term (A-C);1,550;8825,7;0;Short Term (A-C);2,760;0;44856;Short Term (A-C);1,990;89263,44;0;No Carbon Sequestration;0,430;0;0;No Carbon Sequestration;0,510;0;3400;No Carbon Sequestration;0,260;884;0;1:1:6;37,300;0;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;0;High Density;42,610;0;278,8;0,214
18;Educational;New Build (Brownfield);2349;9;Full Footprint;Piles (Pile Caps);Suspended RC;In-Situ RC;7,00;5,00;Masonry + SFS;Unknown;0;CEMI;0,097;0;1713110;CEMI;0,121;207114,999;4558488;25% GGBS;0,120;548386,1064;0;CEMI;0,172;0;21600;Short Term (A-C);1,550;33480;0;Short Term (A-C);2,760;0;487416;Short Term (A-C);1,990;969957,84;0;No Carbon Sequestration;0,430;0;0;No Carbon Sequestration;0,510;0;0;No Carbon Sequestration;0,260;0;0;1:1:6;37,300;0;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;0;High Density;42,610;0;1758,9;0,749
19;Educational;New Build (Brownfield);7755;3;None;Piled Ground Beams;Suspended RC;Steel Frame, Precast;7,50;4,00;Masonry + SFS;Unknown;0;CEMI;0,097;0;0;CEMI;0,121;0;4498206;50% GGBS;0,089;399440,6928;1582578;CEMI;0,172;272519,9316;282320;Short Term (A-C);1,550;437596;20618,051;Short Term (A-C);2,760;56905,82076;162571;Short Term (A-C);1,990;323516,29;0;No Carbon Sequestration;0,430;0;0;No Carbon Sequestration;0,510;0;773,5;No Carbon Sequestration;0,260;201,11;0;1:1:6;37,300;0;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;0;High Density;42,610;0;1490,2;0,192
20;Educational;New Build (Brownfield);2100;1;None;Piles (Pile Caps);Suspended RC;Steel Frame, Other;6,50;3,00;Masonry Only;Very Good;0;CEMI;0,097;0;670000;70% GGBS;0,053;35309;1325000;50% GGBS;0,089;117660;0;CEMI;0,172;0;73633;Short Term (A-C);1,550;114131,15;0;Short Term (A-C);2,760;0;71112;Short Term (A-C);1,990;141512,88;0;No Carbon Sequestration;0,430;0;0;No Carbon Sequestration;0,510;0;0;No Carbon Sequestration;0,260;0;0;1:1:6;37,300;0;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;0;High Density;42,610;0;408,6;0,195
21;Educational;New Build (Brownfield);15985;2;None;Mass Pads/Strips;Ground Bearing RC;Steel Frame, Composite;45,00;5,00;Masonry + SFS;Unknown;2308577;CEMI;0,097;224393,6844;0;CEMI;0,121;0;10632977;50% GGBS;0,089;944208,3576;0;CEMI;0,172;0;1305860;Short Term (A-C);1,550;2024083;0;Short Term (A-C);2,760;0;205828;Short Term (A-C);1,990;409597,72;0;No Carbon Sequestration;0,430;0;0;No Carbon Sequestration;0,510;0;0;No Carbon Sequestration;0,260;0;0;1:1:6;37,300;0;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;0;High Density;42,610;0;3602,3;0,225
22;Residential;New Build (Brownfield);3932;4;None;Piles (Pile Caps);Suspended RC;In-Situ RC;5,74;2,50;Masonry + SFS;Very Good;0;CEMI;0,097;0;0;CEMI;0,121;0;5569323;25% GGBS;0,120;669989,5569;0;CEMI;0,172;0;0;Short Term (A-C);1,550;0;0;Short Term (A-C);2,760;0;441951;Short Term (A-C);1,990;879482,49;0;No Carbon Sequestration;0,430;0;0;No Carbon Sequestration;0,510;0;0;No Carbon Sequestration;0,260;0;0;1:1:6;37,300;0;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;0;High Density;42,610;0;1549,5;0,394
23;Educational;New Build (Brownfield);3460;2;None;Piled Ground Beams;Suspended RC;CLT Frame;4,00;4,00;Masonry Only;Unknown;0;CEMI;0,097;0;0;CEMI;0,121;0;2793100;25% GGBS;0,120;336009,93;0;CEMI;0,172;0;90435;Short Term (A-C);1,550;140174,25;0;Short Term (A-C);2,760;0;116327;Short Term (A-C);1,990;231490,73;518007;No Carbon Sequestration;0,430;222743,01;0;No Carbon Sequestration;0,510;0;0;No Carbon Sequestration;0,260;0;0;1:1:6;37,300;0;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;0;High Density;42,610;0;930,4;0,269
24;Mixed Use;New Build (Brownfield);11500;7;None;Piled Ground Beams;Suspended RC;In-Situ RC;6,00;2,50;Masonry + SFS;Very Good;0;CEMI;0,097;0;0;CEMI;0,121;0;12826632;50% GGBS;0,089;1139004,922;720000;25% GGBS;0,138;99576;0;Short Term (A-C);1,550;0;0;Short Term (A-C);2,760;0;568641;Short Term (A-C);1,990;1131595,59;0;No Carbon Sequestration;0,430;0;0;No Carbon Sequestration;0,510;0;0;No Carbon Sequestration;0,260;0;0;1:1:6;37,300;0;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;0;High Density;42,610;0;2370,2;0,206
25;Residential;New Build (Brownfield);9483;8;None;Piles (Pile Caps);Suspended RC;In-Situ RC;5,00;2,50;Masonry + SFS;Very Good;0;CEMI;0,097;0;0;CEMI;0,121;0;13612812;50% GGBS;0,089;1208817,706;0;CEMI;0,172;0;0;Short Term (A-C);1,550;0;0;Short Term (A-C);2,760;0;481132;Short Term (A-C);1,990;957452,68;0;No Carbon Sequestration;0,430;0;0;No Carbon Sequestration;0,510;0;0;No Carbon Sequestration;0,260;0;0;1:1:6;37,300;0;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;0;High Density;42,610;0;2166,3;0,228
